Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
62719,Green Street Power Partners,62826.0,"GSPP Raynham TMLP, LLC CSG",MA,Bristol,RAYN,Solar Photovoltaic,PV,,S,2.3, ,2.3,2.3, ,OP,X,2.0,2019.0,IPP Non-CHP,2.0,2022
62719,Green Street Power Partners,62827.0,"Ajax Solar, LLC (MA)",MA,Plymouth,AJAXS,Solar Photovoltaic,PV,,S,3.8, ,3.8,3.8, ,OP,X,12.0,2017.0,IPP Non-CHP,2.0,2022
62828,"TWE Bowman Solar Project, LLC",62828.0,TWE Bowman Solar Project,SC,Orangeburg,BOW,Solar Photovoltaic,PV,,S,75.0, ,73.1,73.1, ,OP,X,5.0,2020.0,IPP Non-CHP,2.0,2022
62719,Green Street Power Partners,62829.0,GSPP Held LLC CSG,MN,Stearns,HELDM,Solar Photovoltaic,PV,,S,3.0, ,3,3, ,OP,X,6.0,2019.0,IPP Non-CHP,2.0,2022
62719,Green Street Power Partners,62830.0,GSPP Imholte CSG,MN,Stearns,IMHOL,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,5.0,2019.0,IPP Non-CHP,2.0,2022
62879,Hickory Grove #1 LLC,62831.0,Hickory Grove #1,NY,Chemung,25,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62880,Hickory Grove #2,62832.0,Hickory Grove #2,NY,Chemung,309,Solar Photovoltaic,PV,,S,1.7, ,1.7,1.7, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
8245,City of Hastings - (NE),62833.0,Hastings Community Solar Farm,NE,Adams,PV,Solar Photovoltaic,PV,,S,1.5, ,0.3,0.3, ,OP,X,9.0,2019.0,Electric Utility,1.0,2022
63179,NY Enfield I LLC,62834.0,Podunk Road CSG,NY,Tompkins,871,Solar Photovoltaic,PV,,S,2.2, ,2.2,2.2,2,OP,X,2.0,2019.0,IPP Non-CHP,2.0,2022
63332,Acushnet,62835.0,Acushnet Ball Plant 2,MA,Bristol,ESS-1,Batteries,BA,,W,1.0,1,1,1,0,OP,X,6.0,2019.0,Industrial Non-CHP,6.0,2022
63332,Acushnet,62835.0,Acushnet Ball Plant 2,MA,Bristol,ESS-2,Batteries,BA,,W,0.5,1,0.5,0.5,0,OP,X,6.0,2019.0,Industrial Non-CHP,6.0,2022
65411,Duke Energy Renewables Services,62836.0,Maryneal Windpower,TX,Nolan,MNW,Onshore Wind Turbine,WT,,W,182.4, ,182.4,182.4,0.1,OP,X,7.0,2021.0,IPP Non-CHP,2.0,2022
65411,Duke Energy Renewables Services,62837.0,Frontier Windpower II,OK,Kay,FW2,Onshore Wind Turbine,WT,,W,351.8, ,351.8,351.8,27,OP,X,2.0,2021.0,IPP Non-CHP,2.0,2022
4226,Consolidated Edison Co-NY Inc,62839.0,98th Street Battery Storage Station,NY,Queens,ESS98,Batteries,BA,,S,2.0, ,1.8,1.8,1,OP,X,6.0,2021.0,Electric Utility,1.0,2022
50123,"Leeward Asset Management, LLC",62840.0,"Mountain Breeze Wind, LLC",CO,Weld,MTBRZ,Onshore Wind Turbine,WT,,S,171.7, ,171.7,171.7,0.1,OP,X,10.0,2020.0,IPP Non-CHP,2.0,2022
60025,Greenbacker Renewable Energy Corporation,62842.0,Nextsun Energy Littleton,MA,Middlesex,1-003,Solar Photovoltaic,PV,,S,3.8,1,3.8,3.8, ,OP,X,10.0,2013.0,IPP Non-CHP,2.0,2022
60571,"AEP Onsite Partners, LLC",62843.0,Garnet Solar (NY),NY,Warren,PV1,Solar Photovoltaic,PV,,S,1.9, ,1.9,1.9, ,OP,X,6.0,2018.0,IPP Non-CHP,2.0,2022
56201,Engie North America,62845.0,ENGIE Long Draw Solar LLC,TX,Borden,SP1,Solar Photovoltaic,PV,,W,225.0, ,225,225, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62847.0,Fennimore Solar,WI,Grant,FEN6,Solar Photovoltaic,PV,,S,3.0, ,3,3, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62848.0,New Lisbon Solar,WI,Juneau,NEW9,Solar Photovoltaic,PV,,S,2.5, ,2.5,2.5, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62849.0,Cumberland Solar,WI,Barron,CUM4,Solar Photovoltaic,PV,,S,2.5, ,2.5,2.5, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
59050,Algonquin Power Co,62853.0,Maverick Creek Wind,TX,Concho,MVRCK,Onshore Wind Turbine,WT,,S,491.6, ,491.6,491.6,1,OP,X,3.0,2022.0,IPP Non-CHP,2.0,2022
56215,"RWE Renewables Americas, LLC",62855.0,West Raymond Wind Farm LLC,TX,Willacy,WRAYM,Onshore Wind Turbine,WT,,S,239.8, ,239.8,239.8,22,OP,X,10.0,2021.0,IPP Non-CHP,2.0,2022
62707,Marengo Battery Storage LLC,62856.0,Marengo Battery Storage LLC,IL,McHenry,MBSS,Batteries,BA,,S,20.0, ,20,20,15,OA,X,12.0,2018.0,IPP Non-CHP,2.0,2022
62743,RoxWind LLC,62857.0,RoxWind,ME,Oxford,WIND1,Onshore Wind Turbine,WT,,S,15.3, ,15.3,15.3,0,OP,X,11.0,2021.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62858.0,Cashton Solar,WI,Monroe,CAS3,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
62881,Chambers Road Solar LLC,62860.0,Chambers Road Solar,NY,Chemung,263,Solar Photovoltaic,PV,,S,4.0, ,4,4, ,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62861.0,Forest City Solar,IA,Winnebago,FOR7,Solar Photovoltaic,PV,,S,3.0, ,3,3, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
15470,"Duke Energy Indiana, LLC",62862.0,Nabb Battery Energy Storage System,IN,Clark,ES1,Batteries,BA,,S,5.0, ,5,5,5,OP,X,12.0,2020.0,Electric Utility,1.0,2022
62662,"Butter Solar, LLC",62868.0,Elroy Solar,WI,Juneau,ELR5,Solar Photovoltaic,PV,,S,1.5, ,1.5,1.5, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
62662,"Butter Solar, LLC",62869.0,St. Charles Solar,MN,Winona,STC10,Solar Photovoltaic,PV,,S,2.0, ,2,2, ,OP,X,9.0,2019.0,IPP Non-CHP,2.0,2022
62739,Otter River Road Solar LLC,62870.0,Gardner - Otter River Road,MA,Worcester,79711,Solar Photovoltaic,PV,,S,2.5, ,2.5,2.5, ,OP,X,10.0,2019.0,IPP Non-CHP,2.0,2022
56215,"RWE Renewables Americas, LLC",62871.0,Boiling Springs Wind Farm,OK,Woodward,BGSPS,Onshore Wind Turbine,WT,,S,148.4, ,148.4,148.4,25,OP,X,12.0,2020.0,IPP Non-CHP,2.0,2022
62747,Acorn I Energy Storage LLC,62874.0,Acorn I Energy Storage LLC,CA,Ventura,ACOR1,Batteries,BA,,S,2.0, ,2,2,2,OP,X,4.0,2021.0,IPP Non-CHP,2.0,2022
62748,Wildcat I Energy Storage LLC,62875.0,Wildcat I Energy Storage LLC,CA,Riverside,WILD1,Batteries,BA,,S,3.0, ,3,3,3,OP,X,11.0,2021.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62876.0,Amazon Maryland DCA1,MD,Baltimore,DCA1,Solar Photovoltaic,PV,,S,1.3, ,1.3,1.3, ,OP,X,6.0,2019.0,Commercial Non-CHP,4.0,2022
62715,Westbound Solar LLC,62877.0,Amazon Denver DEN3,CO,Adams,ADEN3,Solar Photovoltaic,PV,,S,4.6, ,4.6,4.6, ,OP,X,11.0,2019.0,Commercial Non-CHP,4.0,2022
62715,Westbound Solar LLC,62878.0,McCleskey Cotton,GA,Terrell,MCCOT,Solar Photovoltaic,PV,,S,1.9, ,1.9,1.9, ,OP,X,6.0,2019.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62879.0,Columbia Bryson,GA,Columbia,COBRY,Solar Photovoltaic,PV,,S,1.4, ,1.4,1.4, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62880.0,Bibb Jones,GA,Bibb,BIBBJ,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,2.0,2019.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62881.0,Muscogee Public Works,GA,Muscogee,MUSPW,Solar Photovoltaic,PV,,S,1.5, ,1.5,1.5, ,OP,X,1.0,2019.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62882.0,Oil Dri 2 Solar,GA,Thomas,OLDRY,Solar Photovoltaic,PV,,S,1.4, ,1.4,1.4, ,OP,X,5.0,2019.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62883.0,Telfair Thompson,GA,Telfair,TELTO,Solar Photovoltaic,PV,,S,1.9, ,1.9,1.9, ,OP,X,12.0,2018.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62884.0,Richmond Hayes Solar,GA,Richmond,RICHA,Solar Photovoltaic,PV,,S,2.3, ,2.3,2.3, ,OP,X,11.0,2018.0,IPP Non-CHP,2.0,2022
62715,Westbound Solar LLC,62885.0,Troup RC50,GA,Harris,TROUP,Solar Photovoltaic,PV,,S,2.3, ,2.3,2.3, ,OP,X,4.0,2019.0,IPP Non-CHP,2.0,2022
