Utility ID,Utility Name,Plant Code,Plant Name,State,Zip,County,Latitude,Longitude,NERC Region,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,time
63235,Brookfield Renewable Trading and Marketing LP,54298,Coram Energy LLC (ECT),CA,93501,Kern,35.0583,-118.3417,WECC,2,IPP Non-CHP,N,,Y,93-82-000,N,,2020
63235,Brookfield Renewable Trading and Marketing LP,54299,Coram Energy LLC,CA,93501,Kern,35.075,-118.3417,WECC,2,IPP Non-CHP,N,,Y,93-81-000,N,,2020
63235,Brookfield Renewable Trading and Marketing LP,54300,CTV Power Purchase Contract Trust,CA,93501,Kern,35.0583,-118.3083,WECC,2,IPP Non-CHP,N,,Y,93-80-000,N,,2020
63235,Brookfield Renewable Trading and Marketing LP,54300,CTV Power Purchase Contract Trust,CA,93501,Kern,35.0583,-118.3083,WECC,2,IPP Non-CHP,N,,Y,93-80-000,N,,2020
57170,"EDF Renewable Asset Holdings, Inc.",54453,EDF Renewable Windfarm V Inc,CA,94512,Solano,38.1167,-121.8333,WECC,2,IPP Non-CHP,N,,Y,90-57-000,N,,2020
49963,"FPL Energy Operating Services, Inc.",54454,San Gorgonio Windplant WPP1993,CA,92258,Riverside,33.918395,-116.573906,WECC,2,IPP Non-CHP,N,,N,,N,,2020
13943,Ocean County Utilities Auth,54569,Bayville Central Facility,NJ,8721,Ocean,39.909424,-74.178041,RFC,5,Commercial CHP,Y,89-276-000,N,,N,,2020
2770,Terra-Gen Operating Co-Wind,54647,TPC Windfarms LLC,CA,93501,Kern,35.05,-118.2572,WECC,2,IPP Non-CHP,N,,N,,N,,2020
64228,Alta Mesa 640 LLC,54650,Alta Mesa Repower LLC,CA,92264,Riverside,33.942,-116.661,WECC,2,IPP Non-CHP,N,,Y,89-115-000,N,,2020
64228,Alta Mesa 640 LLC,54650,Alta Mesa Repower LLC,CA,92264,Riverside,33.942,-116.661,WECC,2,IPP Non-CHP,N,,Y,89-115-000,N,,2020
2770,Terra-Gen Operating Co-Wind,54686,Difwind Farms Ltd VI,CA,93501,Kern,35.0506,-118.1714,WECC,2,IPP Non-CHP,N,,Y,87-190-000,N,,2020
63235,Brookfield Renewable Trading and Marketing LP,54750,Coram Tehachapi,CA,93501,Kern,35.0663,-118.339444,WECC,2,IPP Non-CHP,N,,Y,93-23-000,N,,2020
59496,Allete Clean Energy,54793,Storm Lake 1,IA,51002,Buena Vista,42.6878,-95.405,MRO,2,IPP Non-CHP,N,,N,,Y,98-52-000,2020
59496,Allete Clean Energy,54793,Storm Lake 1,IA,51002,Buena Vista,42.6878,-95.405,MRO,2,IPP Non-CHP,N,,N,,Y,98-52-000,2020
59496,Allete Clean Energy,54793,Storm Lake 1,IA,51002,Buena Vista,42.6878,-95.405,MRO,2,IPP Non-CHP,N,,N,,Y,98-52-000,2020
2719,CalWind Resources Inc,54909,Tehachapi Wind Resource II,CA,93561,Kern,35.1061,-118.3114,WECC,2,IPP Non-CHP,N,,Y,83-290-000; 83-417-000,N,,2020
2719,CalWind Resources Inc,54909,Tehachapi Wind Resource II,CA,93561,Kern,35.1061,-118.3114,WECC,2,IPP Non-CHP,N,,Y,83-290-000; 83-417-000,N,,2020
2770,Terra-Gen Operating Co-Wind,54931,Ridgetop,CA,93501,Kern,35.074,-118.3153,WECC,2,IPP Non-CHP,N,,Y,94-50-000,N,,2020
2770,Terra-Gen Operating Co-Wind,54979,Big Spring Wind Power Facility,TX,79720,Howard,32.2075,-101.388333,TRE,2,IPP Non-CHP,N,,Y,95-141-000,N,,2020
6017,ESI Vansycle Partners LP,55125,Vansycle,OR,97835,Umatilla,45.936157,-118.65999,WECC,2,IPP Non-CHP,N,,N,,N,,2020
59496,Allete Clean Energy,55208,Lake Benton I,MN,56149,Lincoln,44.2917,-96.375,MRO,2,IPP Non-CHP,N,,N,,Y,97-86-000,2020
13781,Northern States Power Co - Minnesota,55265,Lake Benton II,MN,56170,Pipestone,44.129369,-96.116971,MRO,1,Electric Utility,N,,N,,Y,99-9-000,2020
59496,Allete Clean Energy,55287,Storm Lake II,IA,51002,Buena Vista,42.8417,-95.405,MRO,2,IPP Non-CHP,N,,N,,Y,98-53-000,2020
56769,Consolidated Edison Development Inc.,55342,Woodstock Windfarm,MN,56186,Pipestone,43.985833,-96.078611,MRO,2,IPP Non-CHP,N,,Y,06-138,Y,99-171,2020
61219,Longroad Energy Services LLC,55353,Lakota Ridge LLC,MN,56142,Lincoln,44.39956,-96.428367,MRO,2,IPP Non-CHP,N,,Y,06-139-000,Y,98-110-000,2020
61219,Longroad Energy Services LLC,55354,Shaokatan Hills LLC,MN,56142,Lincoln,44.421711,-96.434694,MRO,2,IPP Non-CHP,N,,Y,06-137-000,Y,98-111-000,2020
34688,CHI Energy Inc,55368,Wethersfield Wind Farm,NY,14066,Wyoming,42.678819,-78.243792,NPCC,2,IPP Non-CHP,N,,N,,Y,00-1928-00,2020
6862,"Green Mountain Storage, LLC",55370,"Green Mountain Storage, LLC",PA,15542,Somerset,39.851389,-79.070556,RFC,2,IPP Non-CHP,N,,N,,N,,2020
49750,FPL Energy Green Power,55396,Green Power I,CA,92258,Riverside,33.9014,-116.7167,WECC,2,IPP Non-CHP,N,,N,,Y,99-140-000,2020
6607,FPL Energy Vansycle LLC,55560,FPL Energy Vansycle LLC (WA),WA,99360,Walla Walla,46.06,-118.917,WECC,2,IPP Non-CHP,N,,N,,N,,2020
54725,CHI Operations Inc,55561,Tsar Nicholas LLC,MN,56136,Lincoln,44.42,-96.4347,MRO,2,IPP Non-CHP,N,,N,,N,,2020
54725,CHI Operations Inc,55562,Sun River LLC,MN,56136,Lincoln,44.4289,-96.4358,MRO,2,IPP Non-CHP,N,,N,,N,,2020
54725,CHI Operations Inc,55563,Julia Hills LLC,MN,56136,Lincoln,44.4231,-96.4458,MRO,2,IPP Non-CHP,N,,N,,N,,2020
54725,CHI Operations Inc,55564,Jessica Mills LLC,MN,56136,Lincoln,44.4278,-96.43,MRO,2,IPP Non-CHP,N,,N,,N,,2020
54725,CHI Operations Inc,55565,Jack River LLC,MN,56136,Lincoln,44.4233,-96.4411,MRO,2,IPP Non-CHP,N,,N,,N,,2020
